Character,Words,Play
Cornwall,745,Lr
Oswald,499,Lr
France,240,Lr
ATTENDANTS.X.4,229,Lr
ATTENDANTS.CORDELIA.1,163,Lr
Doctor,124,Lr
ATTENDANTS.X.3,123,Lr
MESSENGERS.X.1,117,Lr
ATTENDANTS.LEAR.0.3,105,Lr
Curan,77,Lr
SERVANTS.0.1,76,Lr
Burgundy,68,Lr
Herald,59,Lr
OldMan,58,Lr
SERVANTS.0.3,39,Lr
SERVANTS.0.2,35,Lr
ATTENDANTS.ALBANY,33,Lr
ATTENDANTS.X.2,25,Lr
SOLDIERS.CAPTAINS.1,22,Lr
MESSENGERS.X.2,8,Lr
MESSENGERS.X.3,5,Lr
ATTENDANTS.X.1,3,Lr
SOLDIERS.CAPTAINS.2,2,Lr
Berowne,4594,LLL
King,2359,LLL
Princess,2179,LLL
Boyet,1765,LLL
Armado,1733,LLL
Costard,1533,LLL
Rosaline,1333,LLL
Holofernes,1302,LLL
Boy,1107,LLL
Dumaine,544,LLL
Nathaniel,520,LLL
Longaville,518,LLL
Katherine,388,LLL
Maria,295,LLL
Dull,236,LLL
Winter,105,LLL
Jaquenetta,100,LLL
Spring,96,LLL
Forester,45,LLL
Marcade,28,LLL
LORDS.0,7,LLL
Macbeth,5310,Mac
LadyMacbeth,1908,Mac
Malcolm,1508,Mac
Macduff,1162,Mac
Ross,917,Mac
Banquo,777,Mac
Lennox,513,Mac
Duncan,472,Mac
WITCHES.1,467,Mac
Porter,307,Mac
LadyMacduff,292,Mac
Doctor2,290,Mac
Hecate,263,Mac
WITCHES.3,246,Mac
WITCHES.2,242,Mac
SOLDIERS.Captain,236,Mac
Siward,207,Mac
Gentlewoman,181,Mac
MURDERERS.1,163,Mac
Lord,158,Mac
MacduffsSon,143,Mac
Angus,137,Mac
MURDERERS.2,100,Mac
OldMan,81,Mac
MESSENGERS.2,75,Mac
Caithness,73,Mac
Menteith,71,Mac
MESSENGERS.3,64,Mac
Donalbain,60,Mac
YoungSiward,43,Mac
MURDERERS.3,42,Mac
MESSENGERS.1,38,Mac
Doctor1,35,Mac
SPIRITS.3,32,Mac
Seyton,31,Mac
SPIRITS.2,23,Mac
ATTENDANTS,17,Mac
Fleance,16,Mac
MURDERERS.0.1,14,Mac
SPIRITS.1,13,Mac
SERVANTS.X.4,12,Mac
SERVANTS.X.3,9,Mac
SERVANTS.X.2,8,Mac
SOLDIERS.MALCOLM.0.1,8,Mac
SOLDIERS.MALCOLM,4,Mac
Duke,6533,MM
Isabella,3018,MM
Angelo,2379,MM
Lucio,2318,MM
Escalus,1418,MM
Pompey,1292,MM
Provost,1125,MM
Claudio,798,MM
Elbow,600,MM
Mariana,484,MM
FriarPeter,273,MM
Bawd,226,MM
GENTLEMEN.1,169,MM
Abhorson,141,MM
Barnardine,112,MM
Nun,76,MM
Juliet,63,MM
GENTLEMEN.2,59,MM
Froth,58,MM
Boy,41,MM
Messenger,41,MM
FriarThomas,35,MM
SERVANTS.1,34,MM
Justice,10,MM
Portia,4599,MV
Shylock,2881,MV
Bassanio,2593,MV
LanceletGobbo,1452,MV
Antonio,1434,MV
Gratiano,1373,MV
Lorenzo,1329,MV
Morocco,800,MV
Salarino,701,MV
Nerissa,695,MV
Jessica,660,MV
Duke,557,MV
Solanio,544,MV
Arragon,496,MV
OldGobbo,292,MV
Salerio,174,MV
Tubal,96,MV
Messenger,76,MV
ATTENDANTS.PORTIA.Stephano,54,MV
MUSICIANS,53,MV
SERVANTS.1,35,MV
SERVANTS.2,15,MV
ATTENDANTS.BASSANIO.Leonardo,11,MV
ATTENDANTS.PORTIA.Balthazar,7,MV
Falstaff,3649,Wiv
MasterFord,2530,Wiv
MistressPage,2528,Wiv
MistressQuickly,2200,Wiv
HughEvans,1849,Wiv
MistressFord,1293,Wiv
Slender,1171,Wiv
MasterPage,1094,Wiv
Shallow,914,Wiv
Host,855,Wiv
DoctorCaius,819,Wiv
Fenton,750,Wiv
Pistol,464,Wiv
Simple,332,Wiv
Nym,239,Wiv
AnnePage,185,Wiv
Bardolph,168,Wiv
Robin,101,Wiv
BOYS,59,Wiv
Rugby,52,Wiv
WilliamPage,37,Wiv
Robert,20,Wiv
John,13,Wiv
Bottom,2040,MND
Helena,1816,MND
Theseus,1724,MND
Oberon,1607,MND
Lysander,1395,MND
RobinGoodfellow,1370,MND
Hermia,1284,MND
Titania,1080,MND
Demetrius,1066,MND
Quince,962,MND
Flute,355,MND
Egeus,296,MND
Hippolyta,250,MND
FAIRIES.TITANIA.1,187,MND
Philostrate,183,MND
Snout,165,MND
Snug,125,MND
FAIRIES.TITANIA.0.1,104,MND
Starveling,94,MND
FAIRIES.TITANIA.0.2,70,MND
FAIRIES.TITANIA,60,MND
FAIRIES.TITANIA.Mustardseed,12,MND
FAIRIES.TITANIA.Cobweb,9,MND
FAIRIES.TITANIA.Peaseblossom,9,MND
FAIRIES.TITANIA.Mote,7,MND
Benedick,3761,Ado
Leonato,2642,Ado
DonPedro,2461,Ado
Beatrice,2359,Ado
Claudio,2012,Ado
Dogberry,1541,Ado
Borachio,997,Ado
Hero,980,Ado
DonJohn,900,Ado
FriarFrancis,592,Ado
Margaret,548,Ado
LeonatosBrother,396,Ado
Ursula,362,Ado
Conrade,248,Ado
MESSENGERS.LEONATO.1,211,Ado
Verges,185,Ado
Balthasar,180,Ado
Sexton,106,Ado
WATCHMEN.Seacoal,106,Ado
WATCHMEN.1,101,Ado
MUSICIANS,48,Ado
WATCHMEN.2,24,Ado
Antonio,19,Ado
MESSENGERS.DONPEDRO.1,17,Ado
Boy,6,Ado
ATTENDANTS.0.1,4,Ado
Iago,8438,Oth
Othello,6263,Oth
Desdemona,2755,Oth
Cassio,1961,Oth
Emilia,1823,Oth
